keys,ja,en
unit.cleric.name,クレリック,Cleric
unit.priest.name,プリースト,Priest
unit.bishop.name,ビショップ,Bishop
unit.paladin.name,パラディン,Paladin
unit.archer.name,アーチャー,Archer
unit.hunter.name,ハンター,Ranger
unit.elf.name,エルフ,Elf
unit.slinger.name,スリンガー,Slinger
unit.mage.name,メイジ,Mage
unit.wizard.name,ウィザード,Wizard
unit.witch.name,ウィッチ,Witch
unit.thief.name,シーフ,Thief
unit.halfling.name,ハーフリング,Halfling
unit.ninja.name,ニンジャ,Ninja
unit.kunoichi.name,くノ一,Kunoichi
unit.pixie.name,ピクシー,Pixie
unit.pegasus.name,ペガサス,Pegasus
unit.birdman.name,バードマン,Birdfolk
unit.novice.name,ノービス,Novice
unit.fighter.name,ファイター,Fighter
unit.vanguard.name,ヴァンガード,Vanguard
unit.samurai.name,サムライ,Samurai
unit.knight.name,ナイト,Knight
unit.dwarf.name,ドワーフ,Dwarf
unit.magic_knight.name,マジックナイト,Arcane Knight
unit.sorcerer.name,ソーサラー,Sorcerer
unit.sniper.name,スナイパー,Marksman
unit.warlord.name,ウォーロード,Warlord
unit.wagon.name,馬車,Wagon
unit.airship.name,飛空艇,Airship
unit.barricade.name,バリケード,Barricade
unit.ballista.name,バリスタ,Ballista
unit.goblin.name,ゴブリン,Goblin
unit.hobgoblin.name,ホブゴブリン,Hobgoblin
unit.goblin_archer.name,ゴブリンアーチャー,Goblin Archer
unit.goblin_lord.name,ゴブリンロード,Goblin Lord
unit.skeleton.name,スケルトン,Skeleton
unit.zombie.name,ゾンビ,Zombie
unit.skeleton_archer.name,スケルトンアーチャー,Skeleton Archer
unit.ghoul.name,グール,Ghoul
unit.dullahan.name,デュラハン,Dullahan
unit.ghost.name,ゴースト,Ghost
unit.wraith.name,レイス,Wraith
unit.necromancer.name,ネクロマンサー,Necromancer
unit.orc.name,オーク,Orc
unit.orc_leader.name,オークリーダー,Orc Warchief
unit.orc_mage.name,オークメイジ,Orc Shaman
unit.griffon.name,グリフォン,Griffon
unit.chimera.name,キメラ,Chimera
unit.harpy.name,ハーピー,Harpy
unit.dire_wolf.name,ダイアウルフ,Dire Wolf
unit.rock_serpent.name,ロックサーペント,Rock Serpent
unit.wyrm.name,ワイアーム,Wyrm
unit.scorpion.name,スコーピオン,Giant Scorpion
unit.troll.name,トロール,Troll
unit.treant.name,トレント,Treant
unit.matango.name,マタンゴ,Myconid
